,Region,Sub-region,Year,Biofuels and waste Exports,Biofuels and waste Final consumption,Biofuels and waste Imports,Biofuels and waste Primary production,Biofuels and waste Total energy supply,Biofuels and waste Transformation,Coal Exports,Coal Final consumption,Coal Imports,Coal Losses,Coal Primary production,Coal Total energy supply,Coal Transformation,Electricity and heat Exports,Electricity and heat Final consumption,Electricity and heat Imports,Electricity and heat Losses,Electricity and heat Primary production,Electricity and heat Total energy supply,Electricity and heat Transformation,Natural Gas Exports,Natural Gas Final consumption,Natural Gas Imports,Natural Gas Losses,Natural Gas Primary production,Natural Gas Total energy supply,Natural Gas Transformation,Oil Exports,Oil Final consumption,Oil Imports,Oil Primary production,Oil Total energy supply,Oil Transformation,Oil Losses,Nuclear Primary production,Nuclear Total energy supply,Nuclear Transformation,Biofuels and waste Losses
0,Africa,Northern Africa,1990,0.0,410520.516964575,22.8375,631931.195763565,631954.033263565,-221434.4298,-1842.0,43277.3,111912.71064,-2883.0,12616.7,119379.11064,-59724.4396,-1555.2,238248.0,1558.8,-36133.2,44233.2,44236.8,247752.0,-1155018.6,295558.2,46002.6,-4751.1,2276321.4,1167305.4,-343844.1,-6078185.3,1382385.6,474553.7,7492472.5,1840267.7,-400625.199999999,0.0,0.0,0.0,0.0,0.0
1,Africa,Northern Africa,1991,0.0,420721.630702865,9.135,645883.62660465,645892.76160465,-225172.0444,-1128.0,51430.2,105257.29236,-2612.0,13343.95,116322.94236,-56246.75236,-3330.0,259272.0,3312.0,-38257.2,40366.8,40348.8,278604.0,-1262444.4,333207.9,40975.2,-5995.8,2402574.3,1181105.1,-372606.3,-6372241.1,1419928.9,462490.6,7946311.6,1999954.8,-532856.000000001,0.0,0.0,0.0,0.0,0.0
2,Africa,Northern Africa,1992,-174.935,430950.44684666,2026.8967,656173.491137705,658025.452837705,-227067.2461,-930.6,50360.4,96569.5494,-2788.0,13930.2,104129.8494,-52268.2994,-4273.2,268308.0,4269.6,-36133.2,38548.8,38545.2,290386.8,-1323712.8,360553.5,48119.4,-5664.6,2371409.1,1095815.7,-386147.7,-6196773.7,1439970.4,507672.2,7686900.7,2004685.3,-518513.499999999,0.0,0.0,0.0,0.0,0.0
3,Africa,Northern Africa,1993,-91.45,436927.34847477,1505.62925,666605.743080475,668019.922330475,-231068.0711,-1103.4,53291.0,101702.54856,-3009.0,14727.8,114965.94856,-58050.1888,-4903.2,283957.2,4903.2,-42058.8,44226.0,44226.0,305330.4,-1293797.7,368779.5,46229.4,-7315.2,2455762.5,1208194.2,-436950.9,-5886415.5,1486083.4,528466.5,7533569.8,2188667.0,-595966.200000001,0.0,0.0,0.0,0.0,0.0
4,Africa,Northern Africa,1994,-867.3,466241.80649811,1481.8875,722889.597899055,723504.185399055,-257263.2924,-9362.4,56095.6,117953.91696,-2168.0,15806.5,127586.66696,-69678.98316,-4298.4,293061.6,4291.2,-43711.2,45806.4,45799.2,315532.8,-1175439.6,364915.8,66906.0,-7315.2,2392753.5,1284219.9,-479360.7,-5430304.3,1508334.7,536984.7,7516260.5,2154699.9,-612793.800000001,0.0,0.0,0.0,0.0,0.0
5,Africa,Northern Africa,1995,-1180.0,465350.542988235,1475.5785,726265.26828968,726560.84678968,-261210.3038,-13141.2,53171.8,110294.9292,-2202.0,15862.9,120792.6792,-86650.55052,-2275.2,301960.8,2282.4,-49327.2,47466.0,47473.2,329641.2,-1387578.6,374011.2,75155.4,-7315.2,2887295.4,1574872.2,-592084.8,-5479037.2,1561750.6,550585.7,7681056.9,2208924.8,-557165.699999999,0.0,0.0,0.0,0.0,0.0
6,Africa,Northern Africa,1996,-398.25,482470.347438825,69.074,743196.455040255,742867.279040255,-260367.4316,-11110.8,50443.6,141938.93448,-2065.0,12204.1,144972.73448,-85194.30844,-2520.0,323510.4,2516.4,-54205.2,53132.4,53128.8,340812.0,-1494192.87,375290.883,67449.726,-7315.2,3110999.211,1684256.067,-607272.984,-5687971.3,1513543.8,557066.8,7766620.8,2116137.5,-410650.4,-2270.4,0.0,0.0,0.0,0.0
7,Africa,Northern Africa,1997,-392.35,491031.014253825,69.9875,749337.320244225,749014.957744225,-257922.28849544,-11110.8,42421.9,140796.32448,-2577.0,9127.4,134117.52448,-92486.927,-1123.2,327949.2,1587.6,-60080.4,54511.2,54975.6,361501.2,-2007303.804,451666.773,46572.831,-7315.2,3399142.347,1438411.374,-626776.209,-5700341.8,1636766.0,598194.0,7885388.6,2417387.6,-647947.399999999,0.0,0.0,0.0,0.0,0.0
8,Africa,Northern Africa,1998,-209.45,499140.009116705,75.393,756084.846419575,755950.789419575,-256721.69030244,-7896.0,42462.2,151054.1904,-4354.0,6533.65,150861.7904,-112769.61956,-943.2,343328.4,3492.0,-64224.0,54644.4,57193.2,381373.2,-1897830.315,472147.488,49736.88,-8669.7,3604343.526,1756250.091,-657336.978,-5795567.2,1862004.3,862947.5,8064947.7,2638184.5,-534178.7,-4540.8,0.0,0.0,0.0,0.0
9,Africa,Northern Africa,1999,-383.5,504689.484645255,19.527,760202.225142565,759838.252142565,-255160.862500305,-11065.8,45444.7,149974.4268,-3977.0,4172.25,146570.8768,-100885.33348,-756.0,369496.8,7171.2,-73483.2,62902.8,69318.0,403858.8,-2151076.914,528298.803,65269.08,-8375.4,3834396.99,1748589.156,-749909.736,-6248068.5,1867978.6,902853.6,8401716.0,2505234.7,-445346.3,-13663.1,0.0,0.0,0.0,0.0
