"Country or Area","Year","Unit","Value","Value Footnotes"
"Australia","2016","Thousand metric tons","0","1"
"Australia","2015","Thousand metric tons","44","1"
"Australia","2014","Thousand metric tons","213","1"
"Australia","2013","Thousand metric tons","224","1"
"Australia","2012","Thousand metric tons","228","1"
"Australia","2011","Thousand metric tons","213","1"
"Australia","2010","Thousand metric tons","190","1"
"Australia","2009","Thousand metric tons","241","1"
"Australia","2008","Thousand metric tons","273","1"
"Australia","2007","Thousand metric tons","308","1"
"Australia","2006","Thousand metric tons","384","1"
"Australia","2005","Thousand metric tons","320","1"
"Australia","2004","Thousand metric tons","168","1"
"Australia","2003","Thousand metric tons","480","1"
"Australia","2002","Thousand metric tons","299","1"
"Australia","2001","Thousand metric tons","338","1"
"Australia","2000","Thousand metric tons","372","1"
"Australia","1999","Thousand metric tons","372","1"
"Australia","1998","Thousand metric tons","472","1"
"Australia","1997","Thousand metric tons","553","1"
"Australia","1996","Thousand metric tons","458","1"
"Australia","1995","Thousand metric tons","572","1"
"Belarus","2011","Thousand metric tons","1362",""
"Belarus","2010","Thousand metric tons","1317",""
"Belarus","2009","Thousand metric tons","1257",""
"Belarus","2008","Thousand metric tons","1183",""
"Belarus","2007","Thousand metric tons","1162",""
"Belarus","2006","Thousand metric tons","1246",""
"Belarus","2005","Thousand metric tons","1207",""
"Belarus","2004","Thousand metric tons","1149",""
"Belarus","2003","Thousand metric tons","1100",""
"Belarus","2002","Thousand metric tons","1034",""
"Belarus","2001","Thousand metric tons","1103",""
"Belarus","2000","Thousand metric tons","1253",""
"Belarus","1999","Thousand metric tons","1256",""
"Belarus","1998","Thousand metric tons","1288",""
"Belarus","1997","Thousand metric tons","1515",""
"Belarus","1996","Thousand metric tons","1515",""
"Belarus","1995","Thousand metric tons","1535",""
"Bulgaria","2016","Thousand metric tons","1313",""
"Bulgaria","2015","Thousand metric tons","938",""
"Bulgaria","2014","Thousand metric tons","1392",""
"Bulgaria","2013","Thousand metric tons","1576",""
"Bulgaria","2012","Thousand metric tons","995",""
"Bulgaria","2011","Thousand metric tons","856",""
"Bulgaria","2010","Thousand metric tons","1356",""
"Bulgaria","2009","Thousand metric tons","1672",""
"Bulgaria","2008","Thousand metric tons","1991",""
"Bulgaria","2007","Thousand metric tons","2077",""
"Bulgaria","2006","Thousand metric tons","1905",""
"Bulgaria","2005","Thousand metric tons","1491",""
"Bulgaria","2004","Thousand metric tons","1078",""
"Bulgaria","2003","Thousand metric tons","1303",""
"Bulgaria","2002","Thousand metric tons","1285",""
"Bulgaria","2001","Thousand metric tons","1045",""
"Bulgaria","2000","Thousand metric tons","1124",""
"Bulgaria","1999","Thousand metric tons","1261",""
"Bulgaria","1998","Thousand metric tons","1152",""
"Bulgaria","1997","Thousand metric tons","1082",""
"Bulgaria","1996","Thousand metric tons","1201",""
"Bulgaria","1995","Thousand metric tons","1011",""
"Czechia","2016","Thousand metric tons","118",""
"Czechia","2015","Thousand metric tons","122",""
"Czechia","2014","Thousand metric tons","144",""
"Czechia","2013","Thousand metric tons","137",""
"Czechia","2012","Thousand metric tons","144",""
"Czechia","2011","Thousand metric tons","93",""
"Czechia","2010","Thousand metric tons","212",""
"Czechia","2009","Thousand metric tons","170",""
"Czechia","2008","Thousand metric tons","156",""
"Czechia","2007","Thousand metric tons","247",""
"Czechia","2006","Thousand metric tons","345",""
"Czechia","2005","Thousand metric tons","301",""
"Czechia","2004","Thousand metric tons","317",""
"Czechia","2003","Thousand metric tons","314",""
"Czechia","2002","Thousand metric tons","302",""
"Czechia","2001","Thousand metric tons","280",""
"Czechia","2000","Thousand metric tons","253",""
"Czechia","1999","Thousand metric tons","288",""
"Czechia","1998","Thousand metric tons","325",""
"Czechia","1997","Thousand metric tons","506",""
"Czechia","1996","Thousand metric tons","724",""
"Czechia","1995","Thousand metric tons","616",""
"Estonia","2011","Thousand metric tons","75",""
"Estonia","2010","Thousand metric tons","84",""
"Estonia","2009","Thousand metric tons","45",""
"Estonia","2008","Thousand metric tons","68",""
"Estonia","2007","Thousand metric tons","128",""
"Estonia","2006","Thousand metric tons","101",""
"Estonia","2005","Thousand metric tons","52",""
"Estonia","2004","Thousand metric tons","68",""
"Estonia","2003","Thousand metric tons","120",""
"Estonia","2002","Thousand metric tons","128",""
"Estonia","2001","Thousand metric tons","113",""
"Estonia","2000","Thousand metric tons","86",""
"Estonia","1999","Thousand metric tons","106",""
"Estonia","1998","Thousand metric tons","101",""
"Estonia","1997","Thousand metric tons","129",""
"Estonia","1996","Thousand metric tons","162",""
"Estonia","1995","Thousand metric tons","153",""
"Germany","2016","Thousand metric tons","6418",""
"Germany","2015","Thousand metric tons","6657",""
"Germany","2014","Thousand metric tons","6883",""
"Germany","2013","Thousand metric tons","6973",""
"Germany","2012","Thousand metric tons","6786",""
"Germany","2011","Thousand metric tons","6922",""
"Germany","2010","Thousand metric tons","6253",""
"Germany","2009","Thousand metric tons","5752",""
"Germany","2008","Thousand metric tons","5933",""
"Germany","2007","Thousand metric tons","5386",""
