Year,Commodity,Type,value
1990,Biofuels and waste,Final consumption,26940818.1919868
1990,Biofuels and waste,Primary production,30744418.032945
1990,Biofuels and waste,Transformation,-3733370.1729393
1990,Coal,Final consumption,33298720.2099599
1990,Coal,Primary production,94815269.9418695
1990,Coal,Transformation,-57460985.8701595
1990,Electricity and heat,Final consumption,43088625.0943596
1990,Electricity and heat,Primary production,9262954.26532
1990,Electricity and heat,Transformation,47306579.93412
1990,Natural Gas,Final consumption,40682777.1183
1990,Natural Gas,Primary production,68756749.74
1990,Natural Gas,Transformation,-18724350.1716
1990,Oil,Final consumption,100023494.021392
1990,Oil,Primary production,136127991.462935
1990,Oil,Transformation,-16351624.0896421
1991,Biofuels and waste,Final consumption,27403404.7400335
1991,Biofuels and waste,Primary production,31547602.9583582
1991,Biofuels and waste,Transformation,-3954261.68987155
1991,Coal,Final consumption,32833476.5908388
1991,Coal,Primary production,91836179.3039753
1991,Coal,Transformation,-57012910.5756931
1991,Electricity and heat,Final consumption,43802720.5284392
1991,Electricity and heat,Primary production,9495259.34888
1991,Electricity and heat,Transformation,46859520.4386396
1991,Natural Gas,Final consumption,41762484.2907
1991,Natural Gas,Primary production,70478434.5174
1991,Natural Gas,Transformation,-19332346.9176
1991,Oil,Final consumption,101041719.100617
1991,Oil,Primary production,135538558.840349
1991,Oil,Transformation,-16653094.5282527
1992,Biofuels and waste,Final consumption,27743316.9227724
1992,Biofuels and waste,Primary production,32294524.8152769
1992,Biofuels and waste,Transformation,-4298465.24077301
1992,Coal,Final consumption,29925091.2111316
1992,Coal,Primary production,92068782.5560448
1992,Coal,Transformation,-60190443.5124517
1992,Electricity and heat,Final consumption,49695469.8579604
1992,Electricity and heat,Primary production,9568971.02416
1992,Electricity and heat,Transformation,50089238.841162
1992,Natural Gas,Final consumption,39555245.7477
1992,Natural Gas,Primary production,72742573.314
1992,Natural Gas,Transformation,-24690289.6053
1992,Oil,Final consumption,103302235.671535
1992,Oil,Primary production,136652784.402534
1992,Oil,Transformation,-17212483.0701847
1993,Biofuels and waste,Final consumption,27782258.9190748
1993,Biofuels and waste,Primary production,32155315.6495661
1993,Biofuels and waste,Transformation,-4160491.46835031
1993,Coal,Final consumption,29594827.5991132
1993,Coal,Primary production,89442733.3596508
1993,Coal,Transformation,-60588934.8814599
1993,Electricity and heat,Final consumption,50671009.8354416
1993,Electricity and heat,Primary production,10112859.03988
1993,Electricity and heat,Transformation,50573110.22116
1993,Natural Gas,Final consumption,41219583.1074
1993,Natural Gas,Primary production,74902052.9727
1993,Natural Gas,Transformation,-24384317.3055
1993,Oil,Final consumption,103847474.795838
1993,Oil,Primary production,137660895.780551
1993,Oil,Transformation,-16664781.9193096
1994,Biofuels and waste,Final consumption,28295255.91401
1994,Biofuels and waste,Primary production,32973942.0549377
1994,Biofuels and waste,Transformation,-4243473.97080077
1994,Coal,Final consumption,28235242.1633775
1994,Coal,Primary production,91584025.5324818
1994,Coal,Transformation,-61959743.6181228
1994,Electricity and heat,Final consumption,50635097.3003192
1994,Electricity and heat,Primary production,10211381.409
1994,Electricity and heat,Transformation,50491951.4778
1994,Natural Gas,Final consumption,41198639.1363
1994,Natural Gas,Primary production,75943342.1133
1994,Natural Gas,Transformation,-24779117.7891
1994,Oil,Final consumption,105273250.19606
1994,Oil,Primary production,138966975.806837
1994,Oil,Transformation,-16385833.9828699
1995,Biofuels and waste,Final consumption,28648967.0710288
1995,Biofuels and waste,Primary production,33562232.5309302
1995,Biofuels and waste,Transformation,-4421086.78282524
1995,Coal,Final consumption,29338766.435674
1995,Coal,Primary production,94913716.358996
1995,Coal,Transformation,-64141486.1672204
1995,Electricity and heat,Final consumption,51026483.576078
1995,Electricity and heat,Primary production,10625576.37128
1995,Electricity and heat,Transformation,50753237.1100796
1995,Natural Gas,Final consumption,42944321.8377
1995,Natural Gas,Primary production,77148845.1828
1995,Natural Gas,Transformation,-25230768.6015
1995,Oil,Final consumption,107785369.639523
1995,Oil,Primary production,140217958.565517
1995,Oil,Transformation,-15423787.3770598
1996,Biofuels and waste,Final consumption,29042486.2920823
1996,Biofuels and waste,Primary production,34191819.9972338
1996,Biofuels and waste,Transformation,-4512872.68378371
1996,Coal,Final consumption,28607876.6831618
1996,Coal,Primary production,95791435.722554
1996,Coal,Transformation,-66926607.6738034
1996,Electricity and heat,Final consumption,51232882.874202
1996,Electricity and heat,Primary production,10841691.99816
1996,Electricity and heat,Transformation,50901347.5278792
1996,Natural Gas,Final consumption,44951351.4837
1996,Natural Gas,Primary production,80323898.42484
1996,Natural Gas,Transformation,-26546638.30794
1996,Oil,Final consumption,111109133.379418
1996,Oil,Primary production,143702922.890056
1996,Oil,Transformation,-14911326.6480723
1997,Biofuels and waste,Final consumption,29121248.8960441
1997,Biofuels and waste,Primary production,34534816.0303272
1997,Biofuels and waste,Transformation,-4621907.6281596
1997,Coal,Final consumption,26842379.2134818
1997,Coal,Primary production,96851111.4877997
1997,Coal,Transformation,-66877034.3618585
1997,Electricity and heat,Final consumption,51662181.2597204
1997,Electricity and heat,Primary production,10976410.28348
1997,Electricity and heat,Transformation,51282081.5502824
1997,Natural Gas,Final consumption,44937191.5452
1997,Natural Gas,Primary production,80228250.80028
1997,Natural Gas,Transformation,-27452976.58881
1997,Oil,Final consumption,113340843.083773
1997,Oil,Primary production,147885268.981463
1997,Oil,Transformation,-16647504.4286794
1998,Biofuels and waste,Final consumption,29496038.0170222
1998,Biofuels and waste,Primary production,34566034.6700521
1998,Biofuels and waste,Transformation,-4787758.4079713
1998,Coal,Final consumption,25966198.6985255
1998,Coal,Primary production,94148242.9847193
1998,Coal,Transformation,-68446848.2298662
1998,Electricity and heat,Final consumption,52737621.2622235
1998,Electricity and heat,Primary production,11124711.17108
1998,Electricity and heat,Transformation,52317639.89584
1998,Natural Gas,Final consumption,44852501.51289
1998,Natural Gas,Primary production,82058000.962266
1998,Natural Gas,Transformation,-28657971.3427866
1998,Oil,Final consumption,114256630.877338
1998,Oil,Primary production,151027998.42574
1998,Oil,Transformation,-16915471.1110494
1999,Biofuels and waste,Final consumption,29992355.8072967
