Region Name,Sub-region Name,Year,Source38,Electricity
Africa,Northern Africa,1990,Biofuels and waste,178.055556
Africa,Northern Africa,1990,Coal,1934
Africa,Northern Africa,1990,Hydro,12287
Africa,Northern Africa,1990,Natural gas,37726
Africa,Northern Africa,1990,Oil,28981.9444447778
Africa,Northern Africa,1991,Biofuels and waste,195.277778
Africa,Northern Africa,1991,Coal,1809
Africa,Northern Africa,1991,Hydro,11213
Africa,Northern Africa,1991,Natural gas,40326
Africa,Northern Africa,1991,Oil,35059.7222221111
Africa,Northern Africa,1992,Biofuels and waste,196.388889
Africa,Northern Africa,1992,Coal,1666
Africa,Northern Africa,1992,Hydro,10708
Africa,Northern Africa,1992,Natural gas,44798
Africa,Northern Africa,1992,Oil,34002.6111106667
Africa,Northern Africa,1993,Biofuels and waste,201.388889
Africa,Northern Africa,1993,Coal,2531
Africa,Northern Africa,1993,Hydro,12285
Africa,Northern Africa,1993,Natural gas,50097
Africa,Northern Africa,1993,Oil,31983.6111112222
Africa,Northern Africa,1994,Biofuels and waste,221.944444
Africa,Northern Africa,1994,Coal,2799
Africa,Northern Africa,1994,Hydro,12724
Africa,Northern Africa,1994,Natural gas,54491
Africa,Northern Africa,1994,Oil,30136.0555551111
Africa,Northern Africa,1995,Biofuels and waste,207.777778
Africa,Northern Africa,1995,Coal,5982
Africa,Northern Africa,1995,Hydro,13185
Africa,Northern Africa,1995,Natural gas,58624
Africa,Northern Africa,1995,Oil,26754.2222217778
Africa,Northern Africa,1996,Biofuels and waste,223.611111
Africa,Northern Africa,1996,Coal,5876
Africa,Northern Africa,1996,Hydro,14759
Africa,Northern Africa,1996,Natural gas,60179.444444
Africa,Northern Africa,1996,Oil,28390.8333331111
Africa,Northern Africa,1997,Biofuels and waste,220.833333
Africa,Northern Africa,1997,Coal,6569
Africa,Northern Africa,1997,Hydro,15142
Africa,Northern Africa,1997,Natural gas,61832.055556
Africa,Northern Africa,1997,Oil,31795.1111107778
Africa,Northern Africa,1997,"Solar, wind and other sources",0
Africa,Northern Africa,1998,Biofuels and waste,205
Africa,Northern Africa,1998,Coal,8010
Africa,Northern Africa,1998,Hydro,15179
Africa,Northern Africa,1998,Natural gas,63862.722222
Africa,Northern Africa,1998,Oil,33859.3333333333
Africa,Northern Africa,1998,"Solar, wind and other sources",0
Africa,Northern Africa,1999,Biofuels and waste,193.055556
Africa,Northern Africa,1999,Coal,7240
Africa,Northern Africa,1999,Hydro,17473
Africa,Northern Africa,1999,Natural gas,73032.388889
Africa,Northern Africa,1999,Oil,31717.5555556667
Africa,Northern Africa,1999,"Solar, wind and other sources",0
Africa,Northern Africa,2000,Biofuels and waste,235.555556
Africa,Northern Africa,2000,Coal,9402
Africa,Northern Africa,2000,Hydro,16285
Africa,Northern Africa,2000,Natural gas,79261
Africa,Northern Africa,2000,Oil,32153.4444442222
Africa,Northern Africa,2000,"Solar, wind and other sources",168
Africa,Northern Africa,2001,Biofuels and waste,233.333333
Africa,Northern Africa,2001,Coal,12113
Africa,Northern Africa,2001,Hydro,15902
Africa,Northern Africa,2001,Natural gas,97511.8333333333
Africa,Northern Africa,2001,Oil,22403.8333333333
Africa,Northern Africa,2001,"Solar, wind and other sources",409
Africa,Northern Africa,2002,Biofuels and waste,240
Africa,Northern Africa,2002,Coal,11416
Africa,Northern Africa,2002,Hydro,17388
Africa,Northern Africa,2002,Natural gas,105868.444444
Africa,Northern Africa,2002,Oil,25064.5555555556
Africa,Northern Africa,2002,"Solar, wind and other sources",437
Africa,Northern Africa,2003,Biofuels and waste,243.888889
Africa,Northern Africa,2003,Coal,11578
Africa,Northern Africa,2003,Hydro,16068
Africa,Northern Africa,2003,Natural gas,114872.111111
Africa,Northern Africa,2003,Oil,34822
Africa,Northern Africa,2003,"Solar, wind and other sources",604
Africa,Northern Africa,2004,Biofuels and waste,243.888889
Africa,Northern Africa,2004,Coal,12348
Africa,Northern Africa,2004,Hydro,15772
Africa,Northern Africa,2004,Natural gas,121223
Africa,Northern Africa,2004,Oil,38766.1111111111
Africa,Northern Africa,2004,"Solar, wind and other sources",767
Africa,Northern Africa,2005,Biofuels and waste,244.444444
Africa,Northern Africa,2005,Coal,12393
Africa,Northern Africa,2005,Hydro,16017
Africa,Northern Africa,2005,Natural gas,132894
Africa,Northern Africa,2005,Oil,40609.5555555556
Africa,Northern Africa,2005,"Solar, wind and other sources",802
Africa,Northern Africa,2006,Biofuels and waste,249.722222
Africa,Northern Africa,2006,Coal,12495
Africa,Northern Africa,2006,Hydro,16190
Africa,Northern Africa,2006,Natural gas,144234
Africa,Northern Africa,2006,Oil,42886.2777777778
Africa,Northern Africa,2006,"Solar, wind and other sources",840
Africa,Northern Africa,2007,Biofuels and waste,255.277778
Africa,Northern Africa,2007,Coal,12037
Africa,Northern Africa,2007,Hydro,18554
Africa,Northern Africa,2007,Natural gas,156612
Africa,Northern Africa,2007,Oil,42159.7222222222
Africa,Northern Africa,2007,"Solar, wind and other sources",1156
Africa,Northern Africa,2008,Biofuels and waste,246.666667
Africa,Northern Africa,2008,Coal,11274
Africa,Northern Africa,2008,Hydro,17826
Africa,Northern Africa,2008,Natural gas,163436
Africa,Northern Africa,2008,Oil,50343.3055555555
Africa,Northern Africa,2008,"Solar, wind and other sources",1272
Africa,Northern Africa,2009,Biofuels and waste,232.5
Africa,Northern Africa,2009,Coal,10508
Africa,Northern Africa,2009,Hydro,19428
Africa,Northern Africa,2009,Natural gas,170542
Africa,Northern Africa,2009,Oil,52086.5
Africa,Northern Africa,2009,"Solar, wind and other sources",1626
Africa,Northern Africa,2010,Biofuels and waste,235.555556
Africa,Northern Africa,2010,Coal,10319.8
Africa,Northern Africa,2010,Hydro,23103
Africa,Northern Africa,2010,Natural gas,190719
Africa,Northern Africa,2010,Oil,48144.0888888889
Africa,Northern Africa,2010,"Solar, wind and other sources",2983.2
Africa,Northern Africa,2011,Biofuels and waste,236.111111
Africa,Northern Africa,2011,Coal,11273
Africa,Northern Africa,2011,Hydro,22096
Africa,Northern Africa,2011,Natural gas,210688
Africa,Northern Africa,2011,Oil,40410.8333333333
Africa,Northern Africa,2011,"Solar, wind and other sources",4304.5
Africa,Northern Africa,2012,Biofuels and waste,356.333333
Africa,Northern Africa,2012,Coal,11369
Africa,Northern Africa,2012,Hydro,22288
Africa,Northern Africa,2012,Natural gas,224975
Africa,Northern Africa,2012,Oil,48788.0555555555
Africa,Northern Africa,2012,"Solar, wind and other sources",3952.4
Africa,Northern Africa,2013,Biofuels and waste,373.222222
Africa,Northern Africa,2013,Coal,12141
Africa,Northern Africa,2013,Hydro,25049
Africa,Northern Africa,2013,Natural gas,227776
Africa,Northern Africa,2013,Oil,52874.6666666666
Africa,Northern Africa,2013,"Solar, wind and other sources",4706.62
Africa,Northern Africa,2014,Biofuels and waste,356.755556
Africa,Northern Africa,2014,Coal,15955
Africa,Northern Africa,2014,Hydro,25016.6
Africa,Northern Africa,2014,Natural gas,225610
Africa,Northern Africa,2014,Oil,62785.4444444444
Africa,Northern Africa,2014,"Solar, wind and other sources",5850.733
Africa,Northern Africa,2015,Biofuels and waste,349.333333
Africa,Northern Africa,2015,Coal,17113
Africa,Northern Africa,2015,Hydro,24348.32
Africa,Northern Africa,2015,Natural gas,233314
Africa,Northern Africa,2015,Oil,69399.5555555555
Africa,Northern Africa,2015,"Solar, wind and other sources",6330.194
Africa,Northern Africa,2016,Biofuels and waste,346.611111
Africa,Northern Africa,2016,Coal,16985
Africa,Northern Africa,2016,Hydro,23290
Africa,Northern Africa,2016,Natural gas,250686
Africa,Northern Africa,2016,Oil,61555.8888888889
Africa,Northern Africa,2016,"Solar, wind and other sources",8074.5
Africa,Northern Africa,2017,Biofuels and waste,352.711111
Africa,Northern Africa,2017,Coal,17545
Africa,Northern Africa,2017,Hydro,23834.7
Africa,Northern Africa,2017,Natural gas,270119.292
Africa,Northern Africa,2017,Oil,53103.8557777777
Africa,Northern Africa,2017,"Solar, wind and other sources",8953.8321
Africa,Northern Africa,2018,Biofuels and waste,356.1
Africa,Northern Africa,2018,Coal,21260.694
Africa,Northern Africa,2018,Hydro,24514.834
Africa,Northern Africa,2018,Natural gas,281201.148
Africa,Northern Africa,2018,Oil,49099.345
Africa,Northern Africa,2018,"Solar, wind and other sources",10467.84
Africa,Northern Africa,2019,Biofuels and waste,348.98
Africa,Northern Africa,2019,Coal,26899.743
Africa,Northern Africa,2019,Hydro,25202.681
Africa,Northern Africa,2019,Natural gas,271165.171
Africa,Northern Africa,2019,Oil,52178.22
Africa,Northern Africa,2019,"Solar, wind and other sources",14493.361
Africa,Sub-Saharan Africa,1990,Biofuels and waste,413
Africa,Sub-Saharan Africa,1990,Coal,162454.9
Africa,Sub-Saharan Africa,1990,Hydro,43409.3384
Africa,Sub-Saharan Africa,1990,Natural gas,7435
Africa,Sub-Saharan Africa,1990,Nuclear,8400
Africa,Sub-Saharan Africa,1990,Oil,8032.98888922222
Africa,Sub-Saharan Africa,1990,"Solar, wind and other sources",402
Africa,Sub-Saharan Africa,1991,Biofuels and waste,452
Africa,Sub-Saharan Africa,1991,Coal,165408.3
Africa,Sub-Saharan Africa,1991,Hydro,45493.5091
Africa,Sub-Saharan Africa,1991,Natural gas,6795
Africa,Sub-Saharan Africa,1991,Nuclear,9300
Africa,Sub-Saharan Africa,1991,Oil,7660.90000011111
Africa,Sub-Saharan Africa,1991,"Solar, wind and other sources",363
Africa,Sub-Saharan Africa,1992,Biofuels and waste,604.7
Africa,Sub-Saharan Africa,1992,Coal,164542.2
Africa,Sub-Saharan Africa,1992,Hydro,46886.2674
Africa,Sub-Saharan Africa,1992,Natural gas,6859
Africa,Sub-Saharan Africa,1992,Nuclear,9288
Africa,Sub-Saharan Africa,1992,Oil,8398.40999977778
Africa,Sub-Saharan Africa,1992,"Solar, wind and other sources",338
Africa,Sub-Saharan Africa,1993,Biofuels and waste,667.9
Africa,Sub-Saharan Africa,1993,Coal,172980.2
Africa,Sub-Saharan Africa,1993,Hydro,46094.4206
Africa,Sub-Saharan Africa,1993,Natural gas,7292
Africa,Sub-Saharan Africa,1993,Nuclear,7255
