"Country or Area","Year","Unit","Value","Value Footnotes"
"Afghanistan","2016","Thousand metric tons","1698.19","1"
"Afghanistan","2015","Thousand metric tons","1364.8","1"
"Afghanistan","2014","Thousand metric tons","1517.4","1"
"Afghanistan","2013","Thousand metric tons","1347","1"
"Afghanistan","2012","Thousand metric tons","1240","1"
"Afghanistan","2011","Thousand metric tons","1480","1"
"Afghanistan","2010","Thousand metric tons","725","1"
"Afghanistan","2009","Thousand metric tons","500","1"
"Afghanistan","2008","Thousand metric tons","347","1"
"Afghanistan","2007","Thousand metric tons","243","1"
"Afghanistan","2006","Thousand metric tons","35","1"
"Afghanistan","2005","Thousand metric tons","33","1,2"
"Afghanistan","2004","Thousand metric tons","34","1"
"Afghanistan","2003","Thousand metric tons","35","1"
"Afghanistan","2002","Thousand metric tons","21","1"
"Afghanistan","2001","Thousand metric tons","26","1"
"Afghanistan","2000","Thousand metric tons","1","1"
"Afghanistan","1999","Thousand metric tons","1","1"
"Afghanistan","1998","Thousand metric tons","2","1"
"Afghanistan","1997","Thousand metric tons","2","1,2"
"Afghanistan","1996","Thousand metric tons","3","1"
"Afghanistan","1995","Thousand metric tons","5","1,2"
"Albania","2015","Thousand metric tons","99",""
"Algeria","1999","Thousand metric tons","5","2"
"Algeria","1998","Thousand metric tons","8","2"
"Algeria","1997","Thousand metric tons","11","2"
"Algeria","1996","Thousand metric tons","12","2"
"Algeria","1995","Thousand metric tons","22","2"
"Argentina","2016","Thousand metric tons","23",""
"Argentina","2015","Thousand metric tons","34",""
"Argentina","2014","Thousand metric tons","57",""
"Argentina","2013","Thousand metric tons","83",""
"Argentina","2012","Thousand metric tons","95",""
"Argentina","2011","Thousand metric tons","90",""
"Argentina","2010","Thousand metric tons","65",""
"Argentina","2009","Thousand metric tons","82",""
"Argentina","2008","Thousand metric tons","161",""
"Argentina","2007","Thousand metric tons","110",""
"Argentina","2006","Thousand metric tons","141",""
"Argentina","2005","Thousand metric tons","25",""
"Argentina","2004","Thousand metric tons","51",""
"Argentina","2003","Thousand metric tons","89",""
"Argentina","2002","Thousand metric tons","97",""
"Argentina","2001","Thousand metric tons","204",""
"Argentina","2000","Thousand metric tons","259",""
"Argentina","1999","Thousand metric tons","336",""
"Argentina","1998","Thousand metric tons","289",""
"Argentina","1997","Thousand metric tons","250",""
"Argentina","1996","Thousand metric tons","311",""
"Argentina","1995","Thousand metric tons","305",""
"Australia","2016","Thousand metric tons","413200","3"
"Australia","2015","Thousand metric tons","424313","3"
"Australia","2014","Thousand metric tons","407007","3"
"Australia","2013","Thousand metric tons","373568","3"
"Australia","2012","Thousand metric tons","339614","3"
"Australia","2011","Thousand metric tons","320811","3"
"Australia","2010","Thousand metric tons","338139","3"
"Australia","2009","Thousand metric tons","287301","3"
"Australia","2008","Thousand metric tons","276239","3"
"Australia","2007","Thousand metric tons","274149","3"
"Australia","2006","Thousand metric tons","256847","3"
"Australia","2005","Thousand metric tons","255275","3"
"Australia","2004","Thousand metric tons","238904","3"
"Australia","2003","Thousand metric tons","232225","3"
"Australia","2002","Thousand metric tons","239102","3"
"Australia","2001","Thousand metric tons","232374","3"
"Australia","2000","Thousand metric tons","216167","3"
"Australia","1999","Thousand metric tons","200737","3"
"Australia","1998","Thousand metric tons","199441","3"
"Australia","1997","Thousand metric tons","185144","3"
"Australia","1996","Thousand metric tons","172385","3"
"Australia","1995","Thousand metric tons","171082","3"
"Austria","1995","Thousand metric tons","1",""
"Bangladesh","2016","Thousand metric tons","902.5","3"
"Bangladesh","2015","Thousand metric tons","675.79","3"
"Bangladesh","2014","Thousand metric tons","947","3"
"Bangladesh","2013","Thousand metric tons","855","3"
"Bangladesh","2012","Thousand metric tons","835","3"
"Bangladesh","2011","Thousand metric tons","667","3"
"Bangladesh","2010","Thousand metric tons","705","3"
"Bangladesh","2009","Thousand metric tons","828","3"
"Bangladesh","2008","Thousand metric tons","677","3"
"Bangladesh","2007","Thousand metric tons","388","3"
"Bangladesh","2006","Thousand metric tons","303","3"
"Bangladesh","2005","Thousand metric tons","178","3"
"Bangladesh","2004","Thousand metric tons","64.6","3"
"Bangladesh","2003","Thousand metric tons","22.32","3"
"Bhutan","2016","Thousand metric tons","117.77","3"
"Bhutan","2015","Thousand metric tons","85.16","3"
"Bhutan","2014","Thousand metric tons","121.89","3"
"Bhutan","2013","Thousand metric tons","77.74","3"
"Bhutan","2012","Thousand metric tons","98.73","3"
"Bhutan","2011","Thousand metric tons","108.9","3"
"Bhutan","2010","Thousand metric tons","87.81","3"
"Bhutan","2009","Thousand metric tons","48.54","3"
"Bhutan","2008","Thousand metric tons","123.7","3"
"Bhutan","2007","Thousand metric tons","105.26","3"
"Bhutan","2006","Thousand metric tons","97.96","3"
"Bhutan","2005","Thousand metric tons","85.27","3"
"Bhutan","2004","Thousand metric tons","29.63","3"
"Bhutan","2003","Thousand metric tons","66.32","3"
"Bhutan","2002","Thousand metric tons","88.56","3"
"Bhutan","2001","Thousand metric tons","84.59","3"
