year,month,value,date
2000,April,22.51,2000-04-01
2000,May,26.6,2000-05-01
2000,June,28.49,2000-06-01
2000,July,27.26,2000-07-01
2000,August,28.33,2000-08-01
2000,September,31.34,2000-09-01
2000,October,30.5,2000-10-01
2000,November,30.93,2000-11-01
2000,December,23.25,2000-12-01
2001,January,24.02,2001-01-01
2001,February,25.92,2001-02-01
2001,March,23.82,2001-03-01
2001,April,24.82,2001-04-01
2001,May,26.95,2001-05-01
2001,June,26.63,2001-06-01
2001,July,23.99,2001-07-01
2001,August,25.01,2001-08-01
2001,September,24.79,2001-09-01
2001,October,20.05,2001-10-01
2001,November,18.24,2001-11-01
2001,December,18.24,2001-12-01
2002,January,18.92,2002-01-01
2002,February,19.53,2002-02-01
2002,March,23.31,2002-03-01
2002,April,25.03,2002-04-01
2002,May,24.99,2002-05-01
2002,June,24.05,2002-06-01
2002,July,25.18,2002-07-01
2002,August,25.86,2002-08-01
2002,September,27.5,2002-09-01
2002,October,26.9,2002-10-01
2002,November,23.68,2002-11-01
2002,December,27.11,2002-12-01
2003,January,29.59,2003-01-01
2003,February,31.31,2003-02-01
2003,March,28.83,2003-03-01
2003,April,24.21,2003-04-01
2003,May,24.99,2003-05-01
2003,June,26.43,2003-06-01
2003,July,27.46,2003-07-01
2003,August,28.66,2003-08-01
2003,September,26.27,2003-09-01
2003,October,28.45,2003-10-01
2003,November,28.23,2003-11-01
2003,December,28.97,2003-12-01
2004,January,30,2004-01-01
2004,February,29.65,2004-02-01
2004,March,32.21,2004-03-01
2004,April,32.37,2004-04-01
2004,May,36.08,2004-05-01
2004,June,34.16,2004-06-01
2004,July,36.35,2004-07-01
2004,August,40.52,2004-08-01
2004,September,39.15,2004-09-01
2004,October,43.38,2004-10-01
2004,November,38.9,2004-11-01
2004,December,36.82,2004-12-01
2005,January,40.96,2005-01-01
2005,February,42.67,2005-02-01
2005,March,49.27,2005-03-01
2005,April,49.43,2005-04-01
2005,May,47,2005-05-01
2005,June,52.72,2005-06-01
2005,July,55.01,2005-07-01
2005,August,60.05,2005-08-01
2005,September,59.74,2005-09-01
2005,October,56.28,2005-10-01
2005,November,53.14,2005-11-01
2005,December,55.05,2005-12-01
2006,January,60.54,2006-01-01
2006,February,58.95,2006-02-01
2006,March,60.01,2006-03-01
2006,April,67.06,2006-04-01
2006,May,67.22,2006-05-01
2006,June,66.9,2006-06-01
2006,July,71.29,2006-07-01
2006,August,70.78,2006-08-01
2006,September,60.93,2006-09-01
2006,October,57.27,2006-10-01
2006,November,57.79,2006-11-01
2006,December,60.34,2006-12-01
2007,January,52.53,2007-01-01
2007,February,56.53,2007-02-01
2007,March,60.26,2007-03-01
2007,April,65.48,2007-04-01
2007,May,65.7,2007-05-01
2007,June,68.1,2007-06-01
2007,July,72.58,2007-07-01
2007,August,68.98,2007-08-01
2007,September,74.78,2007-09-01
2007,October,79.33,2007-10-01
2007,November,89.11,2007-11-01
2007,December,87.92,2007-12-01
2008,January,89.52,2008-01-01
2008,February,92.37,2008-02-01
2008,March,99.76,2008-03-01
2008,April,105.72,2008-04-01
2008,May,120.91,2008-05-01
2008,June,129.72,2008-06-01
2008,July,132.47,2008-07-01
2008,August,113.05,2008-08-01
2008,September,96.81,2008-09-01
2008,October,69.12,2008-10-01
2008,November,50.91,2008-11-01
2008,December,40.61,2008-12-01
2009,January,43.99,2009-01-01
2009,February,43.22,2009-02-01
2009,March,46.02,2009-03-01
2009,April,50.14,2009-04-01
2009,May,58,2009-05-01
2009,June,69.12,2009-06-01
2009,July,64.82,2009-07-01
2009,August,71.98,2009-08-01
2009,September,67.7,2009-09-01
2009,October,73.06,2009-10-01
2009,November,77.39,2009-11-01
2009,December,75.02,2009-12-01
2010,January,76.61,2010-01-01
2010,February,73.69,2010-02-01
2010,March,78.02,2010-03-01
2010,April,84.08,2010-04-01
2010,May,76.16,2010-05-01
2010,June,74.33,2010-06-01
2010,July,73.54,2010-07-01
2010,August,75.13,2010-08-01
2010,September,76.09,2010-09-01
2010,October,81.11,2010-10-01
2010,November,84.26,2010-11-01
2010,December,89.77,2010-12-01
2011,January,93.87,2011-01-01
2011,February,101.62,2011-02-01
2011,March,110.71,2011-03-01
2011,April,118.64,2011-04-01
2011,May,110.8,2011-05-01
2011,June,109.99,2011-06-01
2011,July,112.53,2011-07-01
2011,August,106.94,2011-08-01
2011,September,108.79,2011-09-01
2011,October,106.11,2011-10-01
2011,November,109.62,2011-11-01
2011,December,107.19,2011-12-01
2012,January,110.47,2012-01-01
2012,February,117.67,2012-02-01
2012,March,123.61,2012-03-01
2012,April,117.97,2012-04-01
2012,May,108.05,2012-05-01
2012,June,94.51,2012-06-01
2012,July,100.34,2012-07-01
2012,August,110.07,2012-08-01
2012,September,111.77,2012-09-01
2012,October,109.79,2012-10-01
2012,November,107.87,2012-11-01
2012,December,107.28,2012-12-01
2013,January,109.55,2013-01-01
2013,February,112.68,2013-02-01
2013,March,106.45,2013-03-01
2013,April,101.57,2013-04-01
2013,May,101.1,2013-05-01
2013,June,101.11,2013-06-01
2013,July,104.86,2013-07-01
2013,August,108.45,2013-08-01
2013,September,109.47,2013-09-01
2013,October,107.37,2013-10-01
2013,November,106.55,2013-11-01
2013,December,108.72,2013-12-01
2014,January,105.29,2014-01-01
2014,February,106.19,2014-02-01
2014,March,105.3,2014-03-01
2014,April,105.56,2014-04-01
2014,May,106.85,2014-05-01
2014,June,109.05,2014-06-01
2014,July,106.3,2014-07-01
2014,August,101.89,2014-08-01
2014,September,96.96,2014-09-01
2014,October,86.83,2014-10-01
2014,November,77.58,2014-11-01
2014,December,61.21,2014-12-01
2015,January,46.59,2015-01-01
2015,February,56.43,2015-02-01
2015,March,55.18,2015-03-01
2015,April,59.07,2015-04-01
2015,May,63.82,2015-05-01
2015,June,61.75,2015-06-01
2015,July,56.3,2015-07-01
2015,August,47.33,2015-08-01
2015,September,46.1,2015-09-01
2015,October,46.68,2015-10-01
2015,November,42.5,2015-11-01
2015,December,35.68,2015-12-01
2016,January,28.08,2016-01-01
2016,February,30.53,2016-02-01
2016,March,36.42,2016-03-01
2016,April,39.88,2016-04-01
2016,May,45.01,2016-05-01
2016,June,46.96,2016-06-01
2016,July,43.52,2016-07-01
2016,August,44.38,2016-08-01
2016,September,44.48,2016-09-01
2016,October,49.25,2016-10-01
2016,November,44.46,2016-11-01
2016,December,52.74,2016-12-01
2017,January,54.08,2017-01-01
2017,February,54.86,2017-02-01
2017,March,51.47,2017-03-01
2017,April,52.49,2017-04-01
2017,May,50.57,2017-05-01
2017,June,46.56,2017-06-01
2017,July,47.86,2017-07-01
2017,August,50.63,2017-08-01
2017,September,54.52,2017-09-01
2017,October,56.06,2017-10-01
2017,November,61.32,2017-11-01
2017,December,62.29,2017-12-01
2018,January,67.06,2018-01-01
2018,February,63.54,2018-02-01
2018,March,63.8,2018-03-01
2018,April,69.22,2018-04-01
2018,May,75.25,2018-05-01
2018,June,73.83,2018-06-01
2018,July,73.47,2018-07-01
2018,August,72.53,2018-08-01
2018,September,77.88,2018-09-01
2018,October,80.08,2018-10-01
2018,November,65.4,2018-11-01
2018,December,57.77,2018-12-01
2019,January,59.27,2019-01-01
2019,February,64.53,2019-02-01
2019,March,66.74,2019-03-01
2019,April,71,2019-04-01
2019,May,70.01,2019-05-01
2019,June,62.37,2019-06-01
2019,July,63.63,2019-07-01
2019,August,59.35,2019-08-01
2019,September,61.72,2019-09-01
2019,October,59.7,2019-10-01
2019,November,62.53,2019-11-01
2019,December,65.5,2019-12-01
2020,January,64.31,2020-01-01
2020,February,54.63,2020-02-01
2020,March,33.36,2020-03-01
2020,April,19.9,2020-04-01
2020,May,30.61,2020-05-01
2020,June,40.63,2020-06-01
2020,July,43.35,2020-07-01
2020,August,44.19,2020-08-01
2020,September,41.35,2020-09-01
2020,October,40.66,2020-10-01
2020,November,43.34,2020-11-01
2020,December,49.84,2020-12-01
2021,January,54.79,2021-01-01
2021,February,61.22,2021-02-01
2021,March,64.73,2021-03-01
2021,April,63.4,2021-04-01
2021,May,66.95,2021-05-01
2021,June,71.98,2021-06-01
2021,July,73.54,2021-07-01
2021,August,69.8,2021-08-01
2021,September,73.13,2021-09-01
2021,October,82.11,2021-10-01
2021,November,80.64,2021-11-01
2021,December,73.3,2021-12-01
2022,January,84.67,2022-01-01
2022,February,94.07,2022-02-01
2022,March,112.87,2022-03-01
2022,April,145.13,2022-04-01
2022,May,147.77,2022-05-01
2022,June,170.92,2022-06-01
2022,July,139.93,2022-07-01
2022,August,127.77,2022-08-01
