State,Year,Value
CHANDIGARH,2008,261.9
DELHI,2008,4072.5
HARYANA,2008,6300.1
HIMACHAL PRADESH,2008,761.4
JAMMU & KASHMIR,2008,982.3
LADAKH,2008,
PUNJAB,2008,5411.1
RAJASTHAN,2008,7889.7
UTTAR PRADESH,2008,10749.2
UTTARAKHAND,2008,1027.4
ARUNACHAL PRADESH,2008,110.1
ASSAM,2008,1517.7
MANIPUR,2008,123.8
MEGHALAYA,2008,323.8
MIZORAM,2008,79.7
NAGALAND,2008,86.2
SIKKIM,2008,67.4
TRIPURA,2008,159.3
ANDAMAN & NICOBAR,2008,134
BIHAR,2008,2990.6
JHARKHAND,2008,1770.2
ODISHA,2008,2652.7
WEST BENGAL,2008,5248.4
CHHATTISGARH,2008,1792.1
DADRA & NAGAR HAVELI AND DAMAN & DIU,2008,354.3
GOA,2008,1069.6
GUJARAT,2008,15742.8
MADHYA PRADESH,2008,4429.2
MAHARASHTRA,2008,15819.9
ANDHRA PRADESH,2008,9389.9
KARNATAKA,2008,6985.9
KERALA,2008,4472.2
LAKSHADWEEP,2008,18.9
PUDUCHERRY,2008,493
TAMIL NADU,2008,10854.6
TELANGANA,2008,0
CHANDIGARH,2009,293.2
DELHI,2009,4135.5
HARYANA,2009,7486.5
HIMACHAL PRADESH,2009,905.4
JAMMU & KASHMIR,2009,1139.5
LADAKH,2009,
PUNJAB,2009,5938.6
RAJASTHAN,2009,6986.5
UTTAR PRADESH,2009,11373
UTTARAKHAND,2009,1170.2
ARUNACHAL PRADESH,2009,133.9
ASSAM,2009,1660.6
MANIPUR,2009,138.9
MEGHALAYA,2009,351.3
MIZORAM,2009,83.9
NAGALAND,2009,94
SIKKIM,2009,82.2
TRIPURA,2009,169.4
ANDAMAN & NICOBAR,2009,134.9
BIHAR,2009,3360.8
JHARKHAND,2009,1972.8
ODISHA,2009,2985.2
WEST BENGAL,2009,5468.5
CHHATTISGARH,2009,1829
DADRA & NAGAR HAVELI AND DAMAN & DIU,2009,431.8
GOA,2009,1047.6
GUJARAT,2009,17223.4
MADHYA PRADESH,2009,4506
MAHARASHTRA,2009,15920.1
ANDHRA PRADESH,2009,9419.6
KARNATAKA,2009,7398.4
KERALA,2009,4834.9
LAKSHADWEEP,2009,19.9
PUDUCHERRY,2009,547.2
TAMIL NADU,2009,11315.4
TELANGANA,2009,0
CHANDIGARH,2010,317.6
DELHI,2010,4080.8
HARYANA,2010,8469.6
HIMACHAL PRADESH,2010,979.6
JAMMU & KASHMIR,2010,1110.1
LADAKH,2010,
PUNJAB,2010,5576.4
RAJASTHAN,2010,7221.2
UTTAR PRADESH,2010,11603.9
UTTARAKHAND,2010,1222.1
ARUNACHAL PRADESH,2010,135.9
ASSAM,2010,1713.6
MANIPUR,2010,104.1
MEGHALAYA,2010,393.9
MIZORAM,2010,89.9
NAGALAND,2010,110.8
SIKKIM,2010,96.8
TRIPURA,2010,181.7
ANDAMAN & NICOBAR,2010,138.4
BIHAR,2010,3583.5
JHARKHAND,2010,2149.4
ODISHA,2010,3277.7
WEST BENGAL,2010,5973.8
CHHATTISGARH,2010,1907.1
DADRA & NAGAR HAVELI AND DAMAN & DIU,2010,449.4
GOA,2010,1083.1
GUJARAT,2010,16058.2
MADHYA PRADESH,2010,5036.5
MAHARASHTRA,2010,16406.9
ANDHRA PRADESH,2010,9787.4
KARNATAKA,2010,7740.6
KERALA,2010,4912
LAKSHADWEEP,2010,23.3
PUDUCHERRY,2010,558
TAMIL NADU,2010,11918.1
TELANGANA,2010,0
CHANDIGARH,2011,307.4
DELHI,2011,4293.7
HARYANA,2011,9186
HIMACHAL PRADESH,2011,1058.9
JAMMU & KASHMIR,2011,1206.4
LADAKH,2011,
PUNJAB,2011,5709.1
RAJASTHAN,2011,8668.5
UTTAR PRADESH,2011,11921.2
UTTARAKHAND,2011,1246.6
ARUNACHAL PRADESH,2011,145
ASSAM,2011,1768
MANIPUR,2011,134.5
MEGHALAYA,2011,457.2
MIZORAM,2011,100.9
NAGALAND,2011,116.4
SIKKIM,2011,93.9
TRIPURA,2011,188.9
ANDAMAN & NICOBAR,2011,133.8
BIHAR,2011,3723.5
JHARKHAND,2011,2265.7
ODISHA,2011,3350.6
WEST BENGAL,2011,5931
CHHATTISGARH,2011,1978.9
DADRA & NAGAR HAVELI AND DAMAN & DIU,2011,400.3
GOA,2011,1056.6
GUJARAT,2011,16311.7
MADHYA PRADESH,2011,5196.8
MAHARASHTRA,2011,17090.3
ANDHRA PRADESH,2011,10543.3
KARNATAKA,2011,8075.4
KERALA,2011,4937.6
LAKSHADWEEP,2011,14.1
PUDUCHERRY,2011,548.8
TAMIL NADU,2011,12641.1
TELANGANA,2011,0
CHANDIGARH,2012,273.3
DELHI,2012,4139.4
HARYANA,2012,9648.7
HIMACHAL PRADESH,2012,1266
JAMMU & KASHMIR,2012,1232.6
LADAKH,2012,
PUNJAB,2012,5607.2
RAJASTHAN,2012,10086.3
UTTAR PRADESH,2012,12193.4
UTTARAKHAND,2012,1218.7
ARUNACHAL PRADESH,2012,158.3
ASSAM,2012,1686
MANIPUR,2012,156.4
MEGHALAYA,2012,472.2
MIZORAM,2012,106.3
NAGALAND,2012,117.9
SIKKIM,2012,91.1
TRIPURA,2012,181.6
ANDAMAN & NICOBAR,2012,136.8
BIHAR,2012,3782
JHARKHAND,2012,2422.3
ODISHA,2012,3418.7
WEST BENGAL,2012,6444.4
CHHATTISGARH,2012,2254.9
DADRA & NAGAR HAVELI AND DAMAN & DIU,2012,371.4
GOA,2012,962
GUJARAT,2012,17227.2
MADHYA PRADESH,2012,5839.8
MAHARASHTRA,2012,17380.6
ANDHRA PRADESH,2012,10961.8
KARNATAKA,2012,8504.1
KERALA,2012,5288.1
LAKSHADWEEP,2012,12.8
PUDUCHERRY,2012,515.9
TAMIL NADU,2012,13498.6
TELANGANA,2012,0
CHANDIGARH,2013,354.3
DELHI,2013,4291.3
HARYANA,2013,9968.3
HIMACHAL PRADESH,2013,1299.4
JAMMU & KASHMIR,2013,1233.9
LADAKH,2013,
PUNJAB,2013,5486.3
RAJASTHAN,2013,10626.3
UTTAR PRADESH,2013,12498.1
UTTARAKHAND,2013,1209.6
ARUNACHAL PRADESH,2013,171.1
ASSAM,2013,1880.4
MANIPUR,2013,164.1
MEGHALAYA,2013,468.6
MIZORAM,2013,103.3
NAGALAND,2013,120.5
SIKKIM,2013,95.3
TRIPURA,2013,180.9
ANDAMAN & NICOBAR,2013,166.3
BIHAR,2013,3972.8
JHARKHAND,2013,2506.5
ODISHA,2013,3675.5
WEST BENGAL,2013,6796.6
CHHATTISGARH,2013,2422.8
DADRA & NAGAR HAVELI AND DAMAN & DIU,2013,443.6
GOA,2013,650.9
GUJARAT,2013,17029.7
MADHYA PRADESH,2013,6066.8
MAHARASHTRA,2013,16767.6
ANDHRA PRADESH,2013,10689.3
KARNATAKA,2013,8931.2
KERALA,2013,5292
LAKSHADWEEP,2013,13.3
PUDUCHERRY,2013,450.6
TAMIL NADU,2013,12578.2
TELANGANA,2013,0
CHANDIGARH,2014,405.1
DELHI,2014,4516.9
HARYANA,2014,10586.1
HIMACHAL PRADESH,2014,1246.9
JAMMU & KASHMIR,2014,1201.3
LADAKH,2014,
PUNJAB,2014,5713.8
RAJASTHAN,2014,10879.4
